,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
4024,H2TX08240,"PHILIPS, MIKE",TX,8,REPUBLICAN PARTY,House,Open seat,N,Republican,mike  philips,,Meetmikephilips,1470603423066243078,No tweets found.,,
4026,H2MI87018,"PHILLIP, JOSEPH",MI,87,REPUBLICAN PARTY,House,Challenger,N,Republican,joseph  phillip,,,,,,
4028,H8MN03143,"PHILLIPS, DEAN",MN,3,DEMOCRATIC-FARMER-LABOR,House,Incumbent,C,Other,dean  phillips,P000616,deanbphillips,39894447,,,
4030,H2OR01265,"PHILLIPS, G. SCOTT",OR,1,DEMOCRATIC PARTY,House,Challenger,C,Democrat,scott  phillips,,ScottPhillipsX1,1513363702698766337,,,
4031,H6NY22098,"PHILLIPS, GEORGE",NY,24,REPUBLICAN PARTY,House,Open seat,N,Republican,george  phillips,,,,,,
4032,H2CA12166,"PHILLIPS, JEFFREY ALAN",CA,11,DEMOCRATIC PARTY,House,Challenger,C,Democrat,jeffrey  phillips,,11thJeff,1340387239218429952,,,
4034,H0NC06266,"PICHARDO, LAURA",NC,6,REPUBLICAN PARTY,House,Challenger,C,Republican,laura  pichardo,,LauraPichardoNC,739630598889705472,,,
4036,H2CA27255,"PIERCE, MARK",CA,27,REPUBLICAN PARTY,House,Challenger,N,Republican,mark  pierce,,,,,,
4037,H2IL14086,"PIERCE, MICHAEL DAVID",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  pierce,,,,,,
4038,H2MN01306,"PIERSON, NELS MR",MN,1,REPUBLICAN PARTY,House,Open seat,C,Republican,nels  pierson,,,,,,
4039,H2NJ02250,"PIGNATELLI, SEAN",NJ,2,REPUBLICAN PARTY,House,Challenger,N,Republican,sean  pignatelli,,,,,,
4040,H0NJ10133,"PINCKNEY, DAVID",NJ,10,REPUBLICAN PARTY,House,Challenger,N,Republican,david  pinckney,,,,,,
4041,H0MD01224,"PINGLEY, JENNIFER",MD,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jennifer  pingley,,,,,,
4042,H8ME01120,"PINGREE, CHELLIE M",ME,1,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,chellie  pingree,,PingreeForME,1002275817227980800,,,
4043,H8ME01120,"PINGREE, CHELLIE M",ME,1,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,chellie  pingree,,chelliepingree,14984637,,,
4044,H2SC01077,"PIPER-LOOMIS, LYNZ",SC,1,REPUBLICAN PARTY,House,Challenger,P,Republican,lynz  piperloomis,,,,,,
4045,H2IL01380,"PIPPION MCGRIFF, NYKEA",IL,1,DEMOCRATIC PARTY,House,Open seat,P,Democrat,nykea  mcgriff,,JustNykea,195568772,,,
4046,H2IL01380,"PIPPION MCGRIFF, NYKEA",IL,1,DEMOCRATIC PARTY,House,Open seat,P,Democrat,nykea  mcgriff,,Nykea4Congress,1489375930531434505,,,
4049,H2MD03184,"PITOCCO, ANTONIO",MD,3,REPUBLICAN PARTY,House,Challenger,P,Republican,antonio  pitocco,,antoniopitocco1,1275611912907247617,No tweets found.,,
4050,H2VI00082,"PLASKETT, STACEY",VI,0,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,stacey  plaskett,P000610,StaceyPlaskett,2724095695,,,
4053,H2GA13079,"PLOTKY, CALINA",GA,13,REPUBLICAN PARTY,House,Challenger,P,Republican,calina  plotky,,calinaplotky,1460295227101569029,No tweets found.,,
4054,H2OR06033,"PLOWHEAD, ANGELA",OR,6,REPUBLICAN PARTY,House,Open seat,P,Republican,angela  plowhead,,angelafororegon,1447025790713950213,,,
4056,H2WI02124,"POCAN, MARK",WI,2,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,mark  pocan,P000607,RepMarkPocan,1206227149,,,
4057,H2WI02124,"POCAN, MARK",WI,2,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,mark  pocan,P000607,MarkPocan,309070309,,,
4059,H2NH02229,"POIRIER, DEAN ALLAN MR",NH,2,REPUBLICAN PARTY,House,Challenger,N,Republican,dean  poirier,,DeanP4Congress,1440013494229872643,,,
4060,H2MD06278,"POISSONNIER, ROBERT",MD,6,REPUBLICAN PARTY,House,Challenger,N,Republican,robert  poissonnier,,bobpoissonier,801397105084551168,,,
4062,H2OR03121,"POLHEMUS, JONATHAN",OR,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jonathan  polhemus,,,,,,
4064,H4ME02234,"POLIQUIN, BRUCE",ME,2,REPUBLICAN PARTY,House,Challenger,P,Republican,bruce  poliquin,,BrucePoliquin,35870854,,,
4065,H2SC06159,"POLLARD, AURIOL SONIA",SC,6,REPUBLICAN PARTY,House,Challenger,C,Republican,auriol  pollard,,,,,,
4066,H4IN04206,"POLLCHIK, HOWARD JOSEPH",IN,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,howard  pollchik,,,,,,
4067,H2FL27071,"POLO, FRANK",FL,27,REPUBLICAN PARTY,House,Challenger,P,Republican,frank  polo,,Polo4Congress,997065151072362496,,,
4069,H2TX34147,"POLSKY,ESQ., LARRY MARK MR",TX,34,REPUBLICAN PARTY,House,Challenger,N,Republican,larry  polskyesq,,,,,,
4070,H2TX32125,"PORRO, JOHN CHARLES MR.",TX,3,REPUBLICAN PARTY,House,Challenger,N,Republican,john  porro,,,,,,
4071,H2ID02232,"PORTER, CHRIS",ID,2,REPUBLICAN PARTY,House,Challenger,N,Republican,chris  porter,,,,,,
4072,H2CA33253,"PORTER, JOHN MARK MR",CA,33,REPUBLICAN PARTY,House,Challenger,N,Republican,john  porter,,,,,,
4073,H8CA45130,"PORTER, KATHERINE",CA,47,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,katherine  porter,P000618,RepKatiePorter,1081222837459996672,,,
4075,H8CA45130,"PORTER, KATHERINE",CA,47,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,katherine  porter,P000618,katieporteroc,617266600,,,
4076,H2FL11182,"PORTER, KEVIN DEAN",FL,11,UNAFFILIATED,House,Challenger,P,Other,kevin  porter,,,,,,
4077,H8FL15107,"POSEY, BILL",FL,8,REPUBLICAN PARTY,House,Incumbent,C,Republican,bill  posey,P000599,congbillposey,25086658,,,
4078,H8FL15107,"POSEY, BILL",FL,8,REPUBLICAN PARTY,House,Incumbent,C,Republican,bill  posey,P000599,PoseyCampaign,2750346912,,,
4079,H0FL19254,"POST, PATRICK",FL,19,DEMOCRATIC PARTY,House,Challenger,N,Democrat,patrick  post,,,,,,
4080,H2AR02111,"POSTON, DAVID P",AR,2,REPUBLICAN PARTY,House,Challenger,N,Republican,david  poston,,,,,,
4082,H2CA30309,"POTELL, JASON RANDOLPH",CA,32,DEMOCRATIC PARTY,House,Challenger,C,Democrat,jason  potell,,jasonpotell,1339079649440067585,No tweets found.,,
4083,H2MI10184,"POWELL, RHONDA",MI,10,DEMOCRATIC PARTY,House,Challenger,C,Democrat,rhonda  powell,,RhondaPowellMI,1504867915555905543,,,
4085,H0IN01317,"POWERS, WILLIAM F (BILL)",IN,1,WRITE-IN,House,Challenger,N,Other,william  powers,,,,,,
4086,H2AZ03152,"POZZOLO, LUIS B",AZ,3,REPUBLICAN PARTY,House,Challenger,P,Republican,luis  pozzolo,,,,,,
4087,H2CA43393,"PRATT, EVETTE",CA,43,REPUBLICAN PARTY,House,Challenger,N,Republican,evette  pratt,,,,,,
4088,H2CA27214,"PREBOLA, CRYSTAL",CA,27,REPUBLICAN PARTY,House,Challenger,N,Republican,crystal  prebola,,,,,,
4089,H2KY06175,"PREECE, CHRISTOPHER",KY,6,DEMOCRATIC PARTY,House,Challenger,P,Democrat,christopher  preece,,ForPreece,,No tweets found.,Name not found.,
4091,H0NJ09200,"PREMPEH, WILLIAM SREBOE",NJ,9,REPUBLICAN PARTY,House,Challenger,P,Republican,william  prempeh,,BillyPrempeh,1229426679229165568,,,
4093,H2NH01304,"PRESCOTT, RUSSELL",NH,1,REPUBLICAN PARTY,House,Challenger,P,Republican,russell  prescott,,,,,,
4094,H2FL12107,"PRESKITT, SID",FL,12,REPUBLICAN PARTY,House,Challenger,N,Republican,sid  preskitt,,,,,,
4095,H8MA07032,"PRESSLEY, AYANNA",MA,7,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,ayanna  pressley,P000617,RepPressley,1080584229510172678,,,
4097,H8MA07032,"PRESSLEY, AYANNA",MA,7,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,ayanna  pressley,P000617,AyannaPressley,31013444,,,
4098,H2DE01047,"PRESSLEY, TYLER STEELE",DE,0,INDEPENDENT,House,Challenger,N,Other,tyler  pressley,,,,,,
4100,H2UT03256,"PRESTON, JASON",UT,3,REPUBLICAN PARTY,House,Challenger,P,Republican,jason  preston,,UTJasonPreston,1412836482830721028,,,
4101,H8MD02100,"PRETOT, JAKE",MD,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jake  pretot,,jake_pretot,922477127232118784,,,
4103,H6NC04037,"PRICE, DAVID",NC,4,DEMOCRATIC PARTY,House,Incumbent,P,Democrat,david  price,P000523,,,,,
4104,H2AL06175,"PRIDMORE, JAY PATRICK",AL,6,REPUBLICAN PARTY,House,Challenger,N,Republican,jay  pridmore,,,,,,
4105,H2IN08193,"PRIEST, PETER F.H. II",IN,8,DEMOCRATIC PARTY,House,Challenger,N,Democrat,peter  priest,,,,,,
4106,H2NV03179,"PRIJTEN, REINIER",NV,3,REPUBLICAN PARTY,House,Challenger,N,Republican,reinier  prijten,,,,,,
4107,H2TX21151,"PRIMM, MARCUS A",TX,21,DEMOCRATIC PARTY,House,Challenger,N,Democrat,marcus  primm,,,,,,
4108,H0NY07092,"PRINCE, PAPERBOY",NY,7,DEMOCRATIC PARTY,House,Challenger,N,Democrat,paperboy  prince,,,,,,
4110,H2OR02172,"PRINE, ADAM",OR,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,adam  prine,,PrineTime,962545657230708736,,,
4111,H2WI03163,"PROVANCE, RUSTIN LEVEM",WI,3,LIBERTARIAN PARTY,House,Open seat,N,Other,rustin  provance,,,,,,
4113,H0FL22118,"PRUDEN, JAMES L.",FL,23,REPUBLICAN PARTY,House,Challenger,P,Republican,james  pruden,,JAMESPRUDEN13,1451727913175375879,,,
4114,H0PA05094,"PRUETT, DASHA",PA,1,REPUBLICAN PARTY,House,Challenger,P,Republican,dasha  pruett,,,,,,
4115,H2KY03230,"PUCCETTI, GREGORY PETER",KY,3,REPUBLICAN PARTY,House,Open seat,C,Republican,gregory  puccetti,,,,,,
4116,H4KY03244,"PUCCETTI, GREGORY PETER",KY,3,REPUBLICAN PARTY,House,Open seat,N,Republican,gregory  puccetti,,,,,,
4117,H0CA28174,"PUDLO, G MAEBE",CA,30,DEMOCRATIC PARTY,House,Challenger,N,Democrat,maebe  pudlo,,,,,,
4118,H2LA05266,"PULLEN, HUNTER I MR.",LA,5,REPUBLICAN PARTY,House,Challenger,N,Republican,hunter  pullen,,,,,,
4119,H6IN07337,"PULLINS, PIERRE QUINCY",IN,7,DEMOCRATIC PARTY,House,Challenger,N,Democrat,pierre  pullins,,pierrepullins,16933742,,,
4121,H2AK01059,"PURHAM, RANDY",AK,0,REPUBLICAN PARTY,House,Challenger,N,Republican,randy  purham,,RPURHAM,71590540,,,
4123,H0TX12246,"PUTNAM, CHRIS",TX,12,REPUBLICAN PARTY,House,Challenger,P,Republican,chris  putnam,,,,,,
4124,H2NY21149,"PUTORTI, MATTHEW",NY,21,DEMOCRATIC PARTY,House,Challenger,C,Democrat,matthew  putorti,,MattPutorti,1402320194316509191,,,
4126,H2NY10175,"QIU, HELEN JIANG",NY,10,REPUBLICAN PARTY,House,Challenger,N,Republican,helen  qiu,,,,,,
4127,H2IL12205,"QUALIS, JOSHUA",IL,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,joshua  qualis,,,,,,
4129,H2CO01215,"QUALTERI, JENNIFER",CO,1,REPUBLICAN PARTY,House,Challenger,N,Republican,jennifer  qualteri,,jqualteri,737888263264997376,No tweets found.,,
4131,H2CA25218,"QUARTEY, JOHN QUAYE II",CA,27,DEMOCRATIC PARTY,House,Challenger,P,Democrat,john  quartey,,QuayeQuartey,1399795007704363008,,,
4132,H2ID27015,"QUESPECT, ERICA REBECA MS",ID,27,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,erica  quespect,,,,,,
4133,H0IL05096,"QUIGLEY, MIKE",IL,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,mike  quigley,Q000023,RepMikeQuigley,56864092,,,
4134,H0IL05096,"QUIGLEY, MIKE",IL,5,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,mike  quigley,Q000023,QuigleyCampaign,15949499,,,
4136,H6FL14112,"QUINN, CHRISTINE YVONNE",FL,13,REPUBLICAN PARTY,House,Challenger,P,Republican,christine  quinn,,ElectQuinn,165172022,,,
4137,H2OK02182,"QUINN, MARTY L",OK,2,REPUBLICAN PARTY,House,Open seat,P,Republican,marty  quinn,,,,,,
4138,H2NJ11152,"QUINN, PATRICK JAMES MR. III",NJ,9,REPUBLICAN PARTY,House,Challenger,N,Republican,patrick  quinn,,,,,,
4139,H2TX06186,"QUINTANILLA, CARLOS",TX,33,DEMOCRATIC PARTY,House,Challenger,N,Democrat,carlos  quintanilla,,,,,,
4140,H4CA30123,"RAB, AEJAZ (RAJI)",CA,32,DEMOCRATIC PARTY,House,Challenger,P,Democrat,aejaz  rab,,,,,,
4141,H2MO07200,"RADAKER-SHEAFER, KRISTEN",MO,7,DEMOCRATIC PARTY,House,Open seat,P,Democrat,kristen  radakersheafer,,,,,,
4143,H2OH07233,"RADER, TRISTAN",OH,7,DEMOCRATIC PARTY,House,Open seat,P,Democrat,tristan  rader,,TWRader,24802711,,,
4145,H2CA18148,"RADING, AJWANG",CA,16,DEMOCRATIC PARTY,House,Challenger,P,Democrat,ajwang  rading,,AjwangRading,2750497334,,,
4146,H2CA33212,"RAGGE, CLAIRE",CA,36,REPUBLICAN PARTY,House,Challenger,C,Republican,claire  ragge,,,,,,
4147,H2NY10217,"RAGUSA, MICAHEL",NY,10,REPUBLICAN PARTY,House,Challenger,N,Republican,micahel  ragusa,,,,,,
4148,H2NY10225,"RAGUSA, MICHAEL",NY,10,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  ragusa,,,,,,
4149,H2MN01348,"RAINWATER, JAMES",MN,1,DEMOCRATIC-FARMER-LABOR,House,Challenger,N,Other,james  rainwater,,,,,,
4150,H2NY09144,"RAITPORT, MENACHEM M.",NY,9,CONSERVATIVE PARTY,House,Challenger,N,Other,menachem  raitport,,,,,,
4151,H2NY02131,"RAKEBRANDT, MICHAEL",NY,2,REPUBLICAN PARTY,House,Challenger,C,Republican,michael  rakebrandt,,mike4congress2,1468270640562118656,,,
4153,H2VT00144,"RAM HINSDALE, KESHA",VT,0,DEMOCRATIC PARTY,House,Open seat,C,Democrat,kesha  hinsdale,,,,,,
4154,H2FL10267,"RAMBARANSINGH, MAHENDRANATH TROY",FL,10,REPUBLICAN PARTY,House,Open seat,P,Republican,mahendranath  rambaransingh,,,,,,
4155,H2FL15092,"RAMCHARRAN, LILAWATIE LILY MRS.",FL,15,DEMOCRATIC PARTY,House,Challenger,C,Democrat,lilawatie  ramcharran,,,,,,
4156,H2CA02258,"RAMIREZ, ARCHIMEDES M.D.",CA,2,REPUBLICAN PARTY,House,Challenger,C,Republican,archimedes  ramirez,,,,,,
4157,H2FL15258,"RAMIREZ, CESAR",FL,15,DEMOCRATIC PARTY,House,Challenger,P,Democrat,cesar  ramirez,,CesarForFlorida,1522425844735610881,,,
4159,H2IL03162,"RAMIREZ, DELIA",IL,3,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,delia  ramirez,R000617,Delia4Congress,,No tweets found.,Name not found.,
4161,H2TX15138,"RAMIREZ, RUBEN",TX,15,DEMOCRATIC PARTY,House,Challenger,C,Democrat,ruben  ramirez,,,,,,
4162,H0VA07109,"RAMIREZ, TINA MARIE MRS.",VA,7,REPUBLICAN PARTY,House,Challenger,C,Republican,tina  ramirez,,,,,,
4163,H2NY11124,"RAMOS DEBARROS, BRITTANY",NY,11,DEMOCRATIC PARTY,House,Challenger,P,Democrat,brittany  debarros,,,,,,
4164,H2IL02198,"RAMOS, ASHLEY",IL,2,REPUBLICAN PARTY,House,Challenger,N,Republican,ashley  ramos,,,,,,
4165,H0AZ05185,"RAMOS, JAVIER GARCIA MR.",AZ,5,DEMOCRATIC PARTY,House,Challenger,C,Democrat,javier  ramos,,RamosAZ5,1236122354285072385,,,
4167,H2CA01243,"RAMOS, JONATHON ANGEL",CA,1,FEDERALIST,House,Challenger,N,Other,jonathon  ramos,,,,,,
4168,H2IL11223,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,juan  ramos,,,,,,
4169,H2IL11231,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,juan  ramos,,,,,,
4170,H2IL11256,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,juan  ramos,,,,,,
4171,H2IL11215,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,juan  ramos,,,,,,
4172,H2IL11249,"RAMOS, JUAN",IL,11,REPUBLICAN PARTY,House,Challenger,N,Republican,juan  ramos,,,,,,
4174,H2TX38023,"RAMSEY, MARK",TX,38,REPUBLICAN PARTY,House,Open seat,C,Republican,mark  ramsey,,RAMSEYforTXCD38,,No tweets found.,Name not found.,
4175,H0MT00074,"RANKIN, SAM",MT,2,LIBERTARIAN PARTY,House,Challenger,C,Other,sam  rankin,,,,,,
4176,H2CA33188,"RAPHAEL, PATRICK JEAN",CA,33,REPUBLICAN PARTY,House,Challenger,N,Republican,patrick  raphael,,,,,,
4177,H2NY20125,"RAR, ROSTISLAV",NY,20,DEMOCRATIC PARTY,House,Challenger,P,Democrat,rostislav  rar,,RarRostislav,1395453003272966145,,,
4180,H2CA48129,"RASCON, MATTHEW G.",CA,48,DEMOCRATIC PARTY,House,Challenger,N,Democrat,matthew  rascon,,MatthewRascon1,1509480052928352262,,,
4181,H2OR01257,"RASCON, NICHOLAS",OR,1,OTHER,House,Challenger,N,Other,nicholas  rascon,,,,,,
4182,H6MD08457,"RASKIN, JAMIE",MD,8,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jamie  raskin,R000606,RepRaskin,806906355214852096,,,
4183,H6MD08457,"RASKIN, JAMIE",MD,8,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jamie  raskin,R000606,jamie_raskin,549579841,,,
4184,H6MD08457,"RASKIN, JAMIE",MD,8,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,jamie  raskin,R000606,repraskin,806906355214852096,No tweets found.,,
4185,H2NY03154,"RASOOL, REEMA",NY,3,DEMOCRATIC PARTY,House,Open seat,P,Democrat,reema  rasool,,reemarasool,354650675,,,
4187,H2PA15123,"RATHMELL, GEORGE",PA,15,REPUBLICAN PARTY,House,Challenger,C,Republican,george  rathmell,,,,,,
4188,H2CA40084,"RATHS, GREG",CA,40,REPUBLICAN PARTY,House,Challenger,C,Republican,greg  raths,,GregRaths,,No tweets found.,Name not found.,
4190,H2CA17124,"RAVUL, RAO",CA,17,DEMOCRATIC PARTY,House,Challenger,N,Democrat,rao  ravul,,,,,,
4192,H2WA03175,"RAY, DAVY",WA,3,DEMOCRATIC PARTY,House,Challenger,N,Democrat,davy  ray,,DavyforCongress,1443963005126029317,No tweets found.,,
4193,H2KY03214,"RAY, STUART N.",KY,3,REPUBLICAN PARTY,House,Open seat,P,Republican,stuart  ray,,,,,,
4194,H2FL15134,"RAYBON, JENNIFER SUSAN",FL,18,REPUBLICAN PARTY,House,Challenger,P,Republican,jennifer  raybon,,,,,,
4195,H2NY24184,"RAYBURN, FLOYD MR.",NY,24,REPUBLICAN PARTY,House,Open seat,P,Republican,floyd  rayburn,,,,,,
4196,H8WI05124,"RAYMOND, ROBERT R.",WI,4,INDEPENDENT,House,Challenger,N,Other,robert  raymond,,,,,,
4197,H2FL13246,"RAYNER, MICHELE K. MS.",FL,13,DEMOCRATIC PARTY,House,Open seat,C,Democrat,michele  rayner,,,,,,
4198,H2AL02208,"REALZ, JONATHAN",AL,2,LIBERTARIAN PARTY,House,Challenger,N,Other,jonathan  realz,,,,,,
4199,H2IL16123,"REBRESH, MICHAEL STEPHAN MR",IL,16,REPUBLICAN PARTY,House,Open seat,P,Republican,michael  rebresh,,,,,,
4200,H6MN02206,"RECHTZIGEL, GENE",MN,4,REPUBLICAN PARTY,House,Challenger,N,Republican,gene  rechtzigel,,,,,,
4202,H2CA00153,"RECILE, RUDY",CA,8,REPUBLICAN PARTY,House,,N,Republican,rudy  recile,,Rudy4USCongress,1431718014173384706,,,
4203,H2NY23129,"RECOTTA, JAMES P",NY,23,REPUBLICAN PARTY,House,Open seat,N,Republican,james  recotta,,,,,,
4204,H2TX12093,"RECTOR, CHRISTOPHER D.",TX,0,NONE,House,Challenger,N,Other,christopher  rector,,,,,,
4205,H2OH01178,"REDDEN, SAVANNA",OH,1,DEMOCRATIC PARTY,House,Challenger,N,Democrat,savanna  redden,,,,,,
4207,H2VT01084,"REDIC, ERICKA L MRS.",VT,0,LIBERTARIAN PARTY,House,Open seat,C,Other,ericka  redic,,ErickaRedic,1495582216205783042,,,
4208,H2GA08061,"REECE, MICHAEL MR.",GA,8,REPUBLICAN PARTY,House,Challenger,N,Republican,michael  reece,,,,,,
4210,H2TX38049,"REED, CENTRELL MS.",TX,38,DEMOCRATIC PARTY,House,Open seat,C,Democrat,centrell  reed,,TheCentrell,843673355509293056,,,
4211,H2TX38049,"REED, CENTRELL MS.",TX,38,DEMOCRATIC PARTY,House,Open seat,C,Democrat,centrell  reed,,THECENTRELL,843673355509293056,No tweets found.,,
4213,H2MO02185,"REED, RAYMOND",MO,2,DEMOCRATIC PARTY,House,Challenger,P,Democrat,raymond  reed,,RayReedMO,3401967448,,,
4214,H0NY29054,"REED, THOMAS W",NY,23,REPUBLICAN PARTY,House,Incumbent,C,Republican,thomas  reed,R000585,,,,,
4215,H2AZ07203,"REETZ, DAVID ""RIZZO""",AZ,7,WRITE-IN,House,Challenger,N,Other,david  reetz,,,,,,
4217,H2VA10216,"REEVES, BRYCE",VA,7,REPUBLICAN PARTY,House,Challenger,P,Republican,bryce  reeves,,ReevesVA,124560631,,,
4218,H6NC03161,"REEVES, ERNEST T",NC,1,REPUBLICAN PARTY,House,Open seat,N,Republican,ernest  reeves,,,,,,
4219,H2NY23236,"REGENOR, JAMES ALLEN COL",NY,23,WRITE-IN,House,Open seat,N,Other,james  regenor,,,,,,
4220,H2IL01398,"REGNIER, JEFFERY",IL,1,REPUBLICAN PARTY,House,Open seat,N,Republican,jeffery  regnier,,RegnierCongress,1504174337980604424,,,
4222,H0TX07220,"REHMAN, LAIQUE",TX,7,REPUBLICAN PARTY,House,Challenger,C,Republican,laique  rehman,,LaiqueRehman1,1201926060927016960,,,
4224,H2SC07223,"REICHERT, STEVE",SC,7,REPUBLICAN PARTY,House,Challenger,C,Republican,steve  reichert,,,,,,
4225,H2CO07204,"REICHERT, TIM",CO,7,REPUBLICAN PARTY,House,Open seat,C,Republican,tim  reichert,,TimReichertCO,1486133708784607241,,,
4227,H2TX02136,"REID, RAYNA",TX,2,DEMOCRATIC PARTY,House,Challenger,C,Democrat,rayna  reid,,,,,,
4228,H2MN01280,"REISDORF, RICHARD B",MN,1,OTHER,House,Open seat,N,Other,richard  reisdorf,,,,,,
4230,H2IL13161,"REISING, JESSE",IL,13,REPUBLICAN PARTY,House,Challenger,C,Republican,jesse  reising,,JesseReisingIL,1483850019853647875,No tweets found.,,
4232,H2CA36447,"REISS, JONATHAN",CA,25,REPUBLICAN PARTY,House,Challenger,P,Republican,jonathan  reiss,,Jonathan__Reiss,977330306893017089,,,
4233,H2NC11148,"REMILLARD, JOSHUA",NC,13,DEMOCRATIC PARTY,House,Challenger,C,Democrat,joshua  remillard,,,,,,
4234,H2AL01218,"REMREY, ALEXANDER M.",AL,1,LIBERTARIAN PARTY,House,Challenger,N,Other,alexander  remrey,,,,,,
4235,H8PA18199,"RESCHENTHALER, GUY MR.",PA,14,REPUBLICAN PARTY,House,Incumbent,C,Republican,guy  reschenthaler,R000610,GReschenthaler,4205133682,,,
4236,H8PA18199,"RESCHENTHALER, GUY MR.",PA,14,REPUBLICAN PARTY,House,Incumbent,C,Republican,guy  reschenthaler,R000610,reschenthaler,477223342,,,
4237,H2GA10133,"REUTER, KIMBERLY ANN CLARK",GA,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,kimberly  reuter,,,,,,
4239,H2AK00218,"REVAK, JOSHUA CARL",AK,0,REPUBLICAN PARTY,House,Open seat,C,Republican,joshua  revak,,joshrevak,273624397,,,
4240,H2WA02268,"REVELLE, DOUG ""YOSHE""",WA,2,NO PARTY PREFERENCE,House,Challenger,N,Other,doug  revelle,,,,,,
4241,H2TX08174,"REVIS, CHRISTOPHER JOHN",TX,8,REPUBLICAN PARTY,House,Open seat,N,Republican,christopher  revis,,,,,,
4242,H2HI01138,"REYES, ARTURO",HI,1,REPUBLICAN PARTY,House,Challenger,N,Republican,arturo  reyes,,,,,,
4243,H2HI02144,"REYES, ARTURO PACHEO",HI,1,REPUBLICAN PARTY,House,Challenger,N,Republican,arturo  reyes,,,,,,
4244,H2AR02103,"REYNOLDS, CONRAD E",AR,2,REPUBLICAN PARTY,House,Challenger,P,Republican,conrad  reynolds,,colonelreynolds,68454527,No tweets found.,,
4246,H4AR02166,"REYNOLDS, CONRAD EARL",AR,2,REPUBLICAN PARTY,House,Challenger,N,Republican,conrad  reynolds,,colonelreynolds,68454527,No tweets found.,,
4248,H2MO07119,"REYNOLDS, DERRAL",MO,7,REPUBLICAN PARTY,House,Open seat,N,Republican,derral  reynolds,,,,,,
4250,H2OR01216,"REYNOLDS, STEVEN CODY",OR,6,DEMOCRATIC PARTY,House,Open seat,P,Democrat,steven  reynolds,,codyfororegon,,No tweets found.,Name not found.,
4251,H2IN09209,"REZAEI, BABAK",IN,9,DEMOCRATIC PARTY,House,Open seat,N,Democrat,babak  rezaei,,,,,,
4252,H2CA30275,"RHODES, AARIKA SAMONE",CA,32,DEMOCRATIC PARTY,House,Challenger,P,Democrat,aarika  rhodes,,aarikarhodes,1293897127,No tweets found.,,
4254,H2CO03286,"RHODES, KELLIE",CO,3,DEMOCRATIC PARTY,House,Challenger,C,Democrat,kellie  rhodes,,,,,,
4256,H4NY04075,"RICE, KATHLEEN",NY,4,DEMOCRATIC PARTY,House,Incumbent,P,Democrat,kathleen  rice,R000602,KathleenRice,82423741,,,
4258,H8IL09174,"RICE, MAXWELL",IL,9,REPUBLICAN PARTY,House,Challenger,P,Republican,maxwell  rice,,checkrice,1206625951716646912,,,
4259,H2SC07066,"RICE, TOM",SC,7,REPUBLICAN PARTY,House,Incumbent,P,Republican,tom  rice,R000597,,,,,
4261,H0MO07279,"RICHARDS, AUDREY",MO,7,REPUBLICAN PARTY,House,Open seat,N,Republican,audrey  richards,,Audrey4Congress,1188561602905329669,,,
4262,H2GA10257,"RICHARDS, MATT",GA,10,REPUBLICAN PARTY,House,Open seat,P,Republican,matt  richards,,,,,,
4263,H2IL12148,"RICHARDSON, KEITH GARTH RABBI",IL,12,DEMOCRATIC PARTY,House,Challenger,N,Democrat,keith  richardson,,,,,,
4264,H2NC07112,"RICHARDSON, MONTEL SHAMAR",NC,7,DEMOCRATIC PARTY,House,Challenger,N,Democrat,montel  richardson,,,,,,
