name,party,state,district,last_election,twitter,ballotpedia
Steve Scalise,Republican Party,Louisiana,1,8-Nov-22,"['https://www.twitter.com/SteveScalise', 'https://www.twitter.com/SteveScaliseGOP']",https://ballotpedia.org/Steve_Scalise
Lesley DeNardis,Republican Party,Connecticut,3,8-Nov-22,['https://www.twitter.com/lesleyforct'],https://ballotpedia.org/Lesley_DeNardis
Richard Welch,Republican Party,Texas,38,1-Mar-22,[],https://ballotpedia.org/Richard_Welch_(Texas)
Eric Ching,Republican Party,California,38,8-Nov-22,['https://www.twitter.com/EricChing4CD38'],https://ballotpedia.org/Eric_Ching
Adriano Espaillat,Democratic Party,New York,13,8-Nov-22,"['https://www.twitter.com/RepEspaillat', 'https://www.twitter.com/EspaillatNY']",https://ballotpedia.org/Adriano_Espaillat
Thomas Gibbons,Republican Party,Alaska,,11-Jun-22,[],https://ballotpedia.org/Thomas_Gibbons
Ryan Melton,Democratic Party,Iowa,4,8-Nov-22,['https://www.twitter.com/melton4iowa'],https://ballotpedia.org/Ryan_Melton
Lynnette Williams,Democratic Party,Tennessee,8,8-Nov-22,[],https://ballotpedia.org/Lynnette_Williams
Aarika Rhodes,Democratic Party,California,32,7-Jun-22,['https://www.twitter.com/aarikarhodes'],https://ballotpedia.org/Aarika_Rhodes
Brian Tyson,Republican Party,California,25,7-Jun-22,[],https://ballotpedia.org/Brian_Tyson
Juan Aguirre,Democratic Party,Illinois,3,28-Jun-22,[],https://ballotpedia.org/Juan_Aguirre_(Illinois)
Reuven Hendler,Democratic Party,New Jersey,3,7-Jun-22,['https://www.twitter.com/Reuvenhendler'],https://ballotpedia.org/Reuven_Hendler
Gina Ciarcia,Republican Party,Virginia,7,21-Jun-22,['https://www.twitter.com/GinaCiarcia'],https://ballotpedia.org/Gina_Ciarcia
Brad Snowden,Republican Party,Alaska,,8-Nov-22,[],https://ballotpedia.org/Brad_Snowden
John Lira,Democratic Party,Texas,23,8-Nov-22,['https://www.twitter.com/liraforcongress'],https://ballotpedia.org/John_Lira_(Texas)
Jay Mercer,Republican Party,New Hampshire,2,13-Sep-22,[],https://ballotpedia.org/Jay_Mercer
Nancy Mace,Republican Party,South Carolina,1,8-Nov-22,"['https://www.twitter.com/RepNancyMace', 'https://www.twitter.com/NancyMace']",https://ballotpedia.org/Nancy_Mace
Rafael Carcamo,Republican Party,California,35,7-Jun-22,['https://www.twitter.com/DRRAFAEL17'],https://ballotpedia.org/Rafael_Carcamo
Guy Ciarrocchi,Republican Party,Pennsylvania,6,8-Nov-22,['https://www.twitter.com/guyciarrocchi'],https://ballotpedia.org/Guy_Ciarrocchi
Michael Kalagias,Libertarian Party,Arkansas,3,8-Nov-22,['https://www.twitter.com/KalagiasforUS'],https://ballotpedia.org/Michael_Kalagias
Will Rollins,Democratic Party,California,41,8-Nov-22,['https://www.twitter.com/WillRollinsCA'],https://ballotpedia.org/Will_Rollins
Tartisha Hill,Democratic Party,Texas,5,8-Nov-22,"['https://www.twitter.com/TartishaHill', 'https://www.twitter.com/TartishaH']",https://ballotpedia.org/Tartisha_Hill
Tim Baxter,Republican Party,New Hampshire,1,13-Sep-22,['https://www.twitter.com/TimBaxterNH'],https://ballotpedia.org/Tim_Baxter
Elaine Luria,Democratic Party,Virginia,2,8-Nov-22,['https://www.twitter.com/ElaineLuriaVA'],https://ballotpedia.org/Elaine_Luria
Chip Roy,Republican Party,Texas,21,8-Nov-22,"['https://www.twitter.com/RepChipRoy', 'https://www.twitter.com/chiproytx']",https://ballotpedia.org/Chip_Roy
Manga Anantatmula,Republican Party,Virginia,11,7-May-22,['https://www.twitter.com/Manga4Congress'],https://ballotpedia.org/Manga_Anantatmula
Mark Jaffe,Democratic Party,New York,16,23-Aug-22,['https://www.twitter.com/jaffe4ny'],https://ballotpedia.org/Mark_Jaffe
Ruben Ramirez,Democratic Party,Texas,15,24-May-22,[],https://ballotpedia.org/Ruben_Ramirez
Carlos Garin,Republican Party,Florida,28,23-Aug-22,['https://www.twitter.com/CarlosGarin'],https://ballotpedia.org/Carlos_Garin
Mike Bost,Republican Party,Illinois,12,8-Nov-22,"['https://www.twitter.com/RepBost', 'https://www.twitter.com/BostForCongress']",https://ballotpedia.org/Mike_Bost
Joe Collins,Republican Party,California,36,8-Nov-22,['https://www.twitter.com/joeecollins3'],https://ballotpedia.org/Joe_Collins_(California)
Daniel Clyde Cummings,Constitution Party,Utah,3,8-Nov-22,[],https://ballotpedia.org/Daniel_Clyde_Cummings
Michael Stoddard,Libertarian Party,Utah,3,8-Nov-22,[],https://ballotpedia.org/Michael_Stoddard
Howard Pollchik,Democratic Party,Indiana,4,3-May-22,[],https://ballotpedia.org/Howard_Pollchik
Matt Rosendale,Republican Party,Montana,2,8-Nov-22,"['https://www.twitter.com/RepRosendale', 'https://www.twitter.com/MattForMontana']",https://ballotpedia.org/Matt_Rosendale
Matthew Putorti,Democratic Party,New York,21,23-Aug-22,['https://www.twitter.com/MattPutorti'],https://ballotpedia.org/Matthew_Putorti
Marcus Lewis,Democratic Party,Illinois,1,28-Jun-22,[],https://ballotpedia.org/Marcus_Lewis
Jeffrey Phillips,Democratic Party,California,11,7-Jun-22,['https://www.twitter.com/11thJeff'],https://ballotpedia.org/Jeffrey_Phillips_(California)
Clifton Rio Torrado VonBuck,Republican Party,California,34,7-Jun-22,[],https://ballotpedia.org/Clifton_Rio_Torrado_VonBuck
George Gluck,Democratic Party,Maryland,6,8-Nov-22,[],https://ballotpedia.org/George_Gluck
Sarah Palin,Republican Party,Alaska,,8-Nov-22,['https://www.twitter.com/SarahPalinUSA'],https://ballotpedia.org/Sarah_Palin
Harry Welty,Republican Party,Minnesota,8,9-Aug-22,[],https://ballotpedia.org/Harry_Welty
Ricardo Villarreal,Democratic Party,Texas,21,24-May-22,['https://www.twitter.com/RVillarrealTX21'],https://ballotpedia.org/Ricardo_Villarreal
Jericho Gonzales,Republican Party,Michigan,2,2-Aug-22,['https://www.twitter.com/J_J_Gonzales'],https://ballotpedia.org/Jericho_Gonzales
Gregg Brelsford,Independent,Alaska,,16-Aug-22,['https://www.twitter.com/alaskans4gregg'],https://ballotpedia.org/Gregg_Brelsford
Eric Carlson,Republican Party,Illinois,1,8-Nov-22,['https://www.twitter.com/EricCarlsonIL01'],https://ballotpedia.org/Eric_Carlson
George Washington,Republican Party,Kentucky,4,17-May-22,['https://www.twitter.com/FokingGeorge'],https://ballotpedia.org/George_Washington_(Kentucky)
Erin Houchin,Republican Party,Indiana,9,8-Nov-22,"['https://www.twitter.com/RepHouchin', 'https://www.twitter.com/Erin_Houchin']",https://ballotpedia.org/Erin_Houchin
Brittany Pettersen,Democratic Party,Colorado,7,8-Nov-22,"['https://www.twitter.com/pettersen4co', 'https://www.twitter.com/BrittanyP333']",https://ballotpedia.org/Brittany_Pettersen
Alexander Halter,Republican Party,New Jersey,11,7-Jun-22,[],https://ballotpedia.org/Alexander_Halter
Heerak Christian Kim,Republican Party,Virginia,8,21-May-22,['https://www.twitter.com/Heerak4Congress'],https://ballotpedia.org/Heerak_Christian_Kim
Philip Covarrubias,Republican Party,Texas,38,1-Mar-22,['https://www.twitter.com/PhilipACovarru2'],https://ballotpedia.org/Philip_Covarrubias
Jenny Garcia Sharon,Republican Party,Texas,37,8-Nov-22,['https://www.twitter.com/jenny4congress'],https://ballotpedia.org/Jenny_Garcia_Sharon
Eric Garcia,Democratic Party,California,22,7-Jun-22,['https://www.twitter.com/EricG1247'],https://ballotpedia.org/Eric_Garcia
Femi Oduwole,Democratic Party,Georgia,10,24-May-22,['https://www.twitter.com/FemiOduwole1'],https://ballotpedia.org/Femi_Oduwole
Shahid Buttar,Democratic Party,California,11,7-Jun-22,"['https://www.twitter.com/shahidforchange', 'https://www.twitter.com/Sheeyahshee']",https://ballotpedia.org/Shahid_Buttar
Craig Swartz,Democratic Party,Ohio,5,8-Nov-22,[],https://ballotpedia.org/Craig_Swartz
